time,re,x,y,U_x,U_y,p
5.0,944.8979591836736,0.8828125,0.1328125,-0.00392296,-0.00657865,0.00261759
4.0,210.20408163265307,0.4453125,0.6796875,-0.0614356,0.175067,-0.0399317
1.0,834.6938775510205,0.2265625,0.2890625,-0.0104454,0.00990682,-0.000317278
9.0,724.4897959183675,0.4765625,0.2109375,-0.145184,0.0138273,-0.00145312
9.0,761.2244897959184,0.1953125,0.2734375,-0.0498722,0.0509854,-0.00150896
7.0,1000.0,0.0703125,0.1484375,-0.005729,0.0112712,-0.000109142
7.0,191.8367346938776,0.3046875,0.2734375,-0.0996387,0.0599122,-0.00270428
6.0,632.6530612244899,0.8671875,0.4453125,-0.1511,-0.211344,-0.00423786
3.0,448.9795918367347,0.1484375,0.3828125,-0.0148976,0.0385343,-0.00229933
4.0,577.5510204081634,0.2421875,0.7421875,-0.0274911,0.0974392,-0.0127043
1.0,338.7755102040817,0.6953125,0.1171875,-0.0172957,-0.00344437,0.00472067
3.0,595.9183673469388,0.9921875,0.3828125,5.07955e-05,-0.00241276,0.00416041
4.0,136.73469387755102,0.2578125,0.0703125,-0.0184817,0.00400653,-0.000131087
1.0,779.591836734694,0.8671875,0.3671875,-0.00958727,-0.0196007,0.00494401
0.0,210.20408163265307,0.8515625,0.9609375,0.0,0.0,0.0
6.0,706.1224489795919,0.3359375,0.3203125,-0.0690321,0.0404832,-0.0016177
3.0,834.6938775510205,0.6328125,0.8671875,0.0756659,0.0792984,-0.0288511
1.0,779.591836734694,0.5078125,0.9609375,0.328338,0.00848199,-0.0119318
4.0,155.10204081632654,0.3359375,0.7578125,-0.031931,0.17917,-0.037208
2.0,265.30612244897964,0.5859375,0.6171875,-0.14423,0.043653,-0.0117232
2.0,761.2244897959184,0.6015625,0.2578125,-0.0267156,-0.00331171,0.00233417
5.0,577.5510204081634,0.5234375,0.1953125,-0.058417,-0.00490663,0.0021018
7.0,944.8979591836736,0.1484375,0.2421875,-0.0222782,0.0312955,-0.000694473
5.0,393.8775510204082,0.8359375,0.4609375,-0.182306,-0.220522,-0.0053736
6.0,595.9183673469388,0.4453125,0.4609375,-0.173513,0.138778,-0.0163845
10.0,963.265306122449,0.0546875,0.8828125,-0.0175884,0.0912894,-0.0175161
10.0,393.8775510204082,0.4453125,0.0390625,-0.0294498,0.000818503,-9.24646e-05
4.0,136.73469387755102,0.4609375,0.7578125,0.00417856,0.152412,-0.058374
1.0,687.7551020408164,0.3359375,0.6953125,-0.0459507,0.032898,-0.00572986
6.0,393.8775510204082,0.3828125,0.6640625,-0.0120885,0.213912,-0.0361953
10.0,504.08163265306126,0.1015625,0.5390625,-0.013051,0.159613,-0.0150942
0.0,687.7551020408164,0.0234375,0.0703125,0.0,0.0,0.0
8.0,100.0,0.8203125,0.6171875,-0.185352,-0.362735,-0.0173456
5.0,485.7142857142858,0.6796875,0.5859375,-0.177371,-0.0496028,-0.0788772
